meeting_id,count,percentage
TS3006d,179,2.3383409536250817
TS3007d,164,2.1423905943827566
TS3007c,162,2.116263879817113
IS1003d,161,2.1032005225342916
IS1006d,158,2.064010450685826
TS3005d,149,1.946440235140431
TS3009c,137,1.7896799477465708
TS3009d,137,1.7896799477465708
TS3008c,134,1.7504898758981056
ES2015d,122,1.5937295885042457
ES2006d,122,1.5937295885042457
TS3011d,118,1.541476159372959
ES2009d,117,1.5284128020901373
ES2011d,112,1.4630960156760286
ES2011c,105,1.3716525146962768
TS3005b,104,1.3585891574134554
IS1006c,104,1.3585891574134554
ES2016d,102,1.332462442847812
TS3008a,101,1.3193990855649902
TS3007a,99,1.2932723709993468
IS1006a,99,1.2932723709993468
ES2015a,97,1.2671456564337036
TS3009a,91,1.1887655127367733
ES2008d,89,1.16263879817113
IS1006b,87,1.1365120836054865
TS3010c,87,1.1365120836054865
IS1007d,84,1.0973220117570217
TS3006b,82,1.0711952971913783
TS3005a,82,1.0711952971913783
ES2009c,81,1.0581319399085565
ES2014d,80,1.0450685826257349
ES2006a,78,1.0189418680600915
TS3005c,78,1.0189418680600915
ES2007c,78,1.0189418680600915
TS3008d,77,1.0058785107772699
TS3006c,75,0.9797517962116263
TS3009b,75,0.9797517962116263
IS1004d,74,0.9666884389288046
ES2005c,73,0.953625081645983
IS1003a,73,0.953625081645983
TS3003a,71,0.9274983670803396
TS3010d,70,0.9144350097975179
ES2005d,66,0.8621815806662313
TS3003d,64,0.8360548661005879
IS1004c,64,0.8360548661005879
ES2005b,62,0.8099281515349446
TS3006a,62,0.8099281515349446
ES2014a,62,0.8099281515349446
TS3004d,61,0.7968647942521229
ES2016c,60,0.7838014369693012
TS3004a,59,0.7707380796864794
IS1007b,59,0.7707380796864794
ES2009a,58,0.7576747224036577
ES2015c,57,0.744611365120836
IS1005c,56,0.7315480078380143
ES2007d,56,0.7315480078380143
TS3011c,54,0.705421293272371
IS1008d,54,0.705421293272371
IS1000a,52,0.6792945787067277
ES2002d,51,0.666231221423906
TS3008b,50,0.6531678641410843
ES2010d,50,0.6531678641410843
ES2011a,50,0.6531678641410843
IS1001a,49,0.6401045068582626
ES2012c,48,0.6270411495754409
IS1003c,46,0.6009144350097975
TS3010a,46,0.6009144350097975
ES2013c,46,0.6009144350097975
TS3011b,44,0.5747877204441542
IS1008c,43,0.5617243631613325
IS1002d,42,0.5486610058785109
IS1009d,42,0.5486610058785109
ES2004d,40,0.5225342913128674
ES2002a,39,0.5094709340300457
ES2012b,38,0.496407576747224
IB4003,38,0.496407576747224
TS3011a,38,0.496407576747224
IS1005b,38,0.496407576747224
TS3012a,37,0.4833442194644023
IS1000d,37,0.4833442194644023
ES2007b,37,0.4833442194644023
ES2003d,37,0.4833442194644023
ES2015b,37,0.4833442194644023
ES2006c,36,0.47028086218158066
TS3007b,36,0.47028086218158066
IS1003b,35,0.45721750489875895
ES2014c,34,0.44415414761593724
IS1007c,34,0.44415414761593724
ES2006b,34,0.44415414761593724
IS1007a,34,0.44415414761593724
IS1001d,34,0.44415414761593724
ES2016b,33,0.43109079033311565
IS1001b,33,0.43109079033311565
TS3012d,32,0.41802743305029394
ES2012d,32,0.41802743305029394
TS3004c,32,0.41802743305029394
IS1005a,31,0.4049640757674723
IS1009a,30,0.3919007184846506
IS1001c,30,0.3919007184846506
TS3004b,30,0.3919007184846506
ES2007a,30,0.3919007184846506
ES2009b,29,0.37883736120182887
TS3012c,29,0.37883736120182887
ES2008c,29,0.37883736120182887
IS1002c,27,0.3527106466361855
ES2011b,26,0.33964728935336386
IS1008b,26,0.33964728935336386
ES2014b,26,0.33964728935336386
ES2004a,25,0.32658393207054215
IS1009c,25,0.32658393207054215
ES2010a,24,0.31352057478772044
ES2008b,24,0.31352057478772044
ES2010b,23,0.30045721750489873
ES2013a,22,0.2873938602220771
ES2013b,22,0.2873938602220771
ES2016a,21,0.2743305029392554
TS3010b,20,0.2612671456564337
ES2002c,20,0.2612671456564337
TS3003c,20,0.2612671456564337
ES2008a,19,0.248203788373612
ES2013d,18,0.23514043109079033
IS1004b,17,0.22207707380796862
ES2010c,17,0.22207707380796862
TS3003b,17,0.22207707380796862
ES2012a,15,0.1959503592423253
IS1000b,14,0.18288700195950358
ES2004c,13,0.16982364467668193
IS1009b,12,0.15676028739386022
TS3012b,12,0.15676028739386022
IS1004a,12,0.15676028739386022
ES2003a,12,0.15676028739386022
ES2003c,11,0.14369693011103854
ES2004b,10,0.13063357282821686
IS1002b,8,0.10450685826257348
IS1000c,8,0.10450685826257348
ES2002b,6,0.07838014369693011
IS1008a,4,0.05225342913128674
ES2003b,3,0.039190071848465055
ES2005a,2,0.02612671456564337
